timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-02 17:10:14,0,0,23552,23552,0,44
2026-07-02 17:10:19,0,17592186043898,23552,24070,0,44
2026-07-02 17:10:24,0,17592186043898,23552,24070,0,43
2026-07-02 17:10:29,0,17592186043898,23552,24070,0,43
2026-07-02 17:10:34,0,17592186043898,23552,24070,0,43
2026-07-02 17:10:39,0,17592186043898,23552,24070,0,43
2026-07-02 17:10:44,0,521,23552,23032,19,43
2026-07-02 17:10:49,0,535,23552,23018,19,43
2026-07-02 17:10:54,0,535,23552,23018,19,43
2026-07-02 17:10:59,0,535,23552,23018,15,43
2026-07-02 17:11:04,0,535,23552,23018,15,43
2026-07-02 17:11:09,0,535,23552,23018,19,43
2026-07-02 17:11:14,0,535,23552,23018,17,43
2026-07-02 17:11:19,0,535,23552,23018,15,43
2026-07-02 17:11:24,0,535,23552,23018,13,42
2026-07-02 17:11:29,0,535,23552,23018,13,42
2026-07-02 17:11:34,0,535,23552,23018,18,42
2026-07-02 17:11:39,0,535,23552,23018,17,42
2026-07-02 17:11:45,0,551,23552,23002,13,42
2026-07-02 17:11:50,0,551,23552,23002,14,42
2026-07-02 17:11:55,0,551,23552,23002,14,42
2026-07-02 17:12:00,0,551,23552,23002,12,42
2026-07-02 17:12:05,0,551,23552,23002,12,42
2026-07-02 17:12:10,0,551,23552,23002,12,42
2026-07-02 17:12:15,0,551,23552,23002,12,42
2026-07-02 17:12:20,0,551,23552,23002,13,42
2026-07-02 17:12:25,0,551,23552,23002,13,42
2026-07-02 17:12:30,0,551,23552,23002,14,42
2026-07-02 17:12:35,0,551,23552,23002,14,42
2026-07-02 17:12:40,0,553,23552,23000,18,42
2026-07-02 17:12:45,0,553,23552,23000,17,42
2026-07-02 17:12:50,0,553,23552,23000,18,42
2026-07-02 17:12:55,0,553,23552,23000,16,42
2026-07-02 17:13:00,0,553,23552,23000,12,42
2026-07-02 17:13:06,0,553,23552,23000,19,42
2026-07-02 17:13:11,0,553,23552,23000,19,42
2026-07-02 17:13:16,0,553,23552,23000,19,42
2026-07-02 17:13:21,0,553,23552,23000,19,42
2026-07-02 17:13:26,0,553,23552,23000,13,42
2026-07-02 17:13:31,0,553,23552,23000,15,42
2026-07-02 17:13:36,0,553,23552,23000,19,42
2026-07-02 17:13:42,0,553,23552,23000,19,42
2026-07-02 17:13:47,0,553,23552,23000,17,42
2026-07-02 17:13:52,0,553,23552,23000,19,42
2026-07-02 17:13:57,0,553,23552,23000,18,41
2026-07-02 17:14:02,0,553,23552,23000,11,41
2026-07-02 17:14:07,0,553,23552,23000,13,41
2026-07-02 17:14:12,0,553,23552,23000,15,41
2026-07-02 17:14:17,0,553,23552,23000,14,41
2026-07-02 17:14:22,0,553,23552,23000,19,41
2026-07-02 17:14:27,0,553,23552,23000,17,41
2026-07-02 17:14:32,0,553,23552,23000,15,41
2026-07-02 17:14:37,0,553,23552,23000,16,41
2026-07-02 17:14:42,0,553,23552,23000,18,41
2026-07-02 17:14:47,0,553,23552,23000,18,41
2026-07-02 17:14:52,0,553,23552,23000,15,41
2026-07-02 17:14:57,0,553,23552,23000,15,41
2026-07-02 17:15:02,0,553,23552,23000,13,41
2026-07-02 17:15:07,0,553,23552,23000,19,41
2026-07-02 17:15:12,0,553,23552,23000,16,41
2026-07-02 17:15:18,0,553,23552,23000,17,41
2026-07-02 17:15:23,0,553,23552,23000,16,41
2026-07-02 17:15:28,0,553,23552,23000,16,41
2026-07-02 17:15:33,0,553,23552,23000,21,41
2026-07-02 17:15:38,0,553,23552,23000,19,41
2026-07-02 17:15:43,0,553,23552,23000,21,41
2026-07-02 17:15:48,0,553,23552,23000,19,41
2026-07-02 17:15:53,0,553,23552,23000,18,41
2026-07-02 17:15:58,0,553,23552,23000,17,41
2026-07-02 17:16:03,0,553,23552,23000,34,43
2026-07-02 17:16:08,0,553,23552,23000,100,45
2026-07-02 17:16:13,0,553,23552,23000,19,44
2026-07-02 17:16:18,0,553,23552,23000,19,43
2026-07-02 17:16:23,0,553,23552,23000,19,43
2026-07-02 17:16:28,0,553,23552,23000,13,43
2026-07-02 17:16:33,0,553,23552,23000,15,43
2026-07-02 17:16:38,0,553,23552,23000,12,43
2026-07-02 17:16:43,0,553,23552,23000,19,43
2026-07-02 17:16:49,0,553,23552,23000,17,42
2026-07-02 17:16:54,0,553,23552,23000,19,42
2026-07-02 17:16:59,0,553,23552,23000,19,42
2026-07-02 17:17:04,0,553,23552,23000,19,42
2026-07-02 17:17:09,0,553,23552,23000,17,42
2026-07-02 17:17:14,0,553,23552,23000,17,42
2026-07-02 17:17:19,0,553,23552,23000,11,42
2026-07-02 17:17:24,0,553,23552,23000,15,42
2026-07-02 17:17:29,0,553,23552,23000,19,42
2026-07-02 17:17:34,0,553,23552,23000,18,42
2026-07-02 17:17:39,0,553,23552,23000,15,42
2026-07-02 17:17:44,0,553,23552,23000,19,42
2026-07-02 17:17:49,0,553,23552,23000,19,42
2026-07-02 17:17:54,0,553,23552,23000,17,41
2026-07-02 17:17:59,0,553,23552,23000,13,41
2026-07-02 17:18:04,0,553,23552,23000,15,41
2026-07-02 17:18:09,0,553,23552,23000,19,41
2026-07-02 17:18:15,0,553,23552,23000,19,41
2026-07-02 17:18:20,0,553,23552,23000,18,41
2026-07-02 17:18:25,0,553,23552,23000,19,41
2026-07-02 17:18:30,0,553,23552,23000,19,41
2026-07-02 17:18:35,0,553,23552,23000,19,41
2026-07-02 17:18:40,0,553,23552,23000,17,41
2026-07-02 17:18:45,0,553,23552,23000,11,41
2026-07-02 17:18:50,0,553,23552,23000,15,41
2026-07-02 17:18:55,0,553,23552,23000,13,41
2026-07-02 17:19:00,0,553,23552,23000,15,41
2026-07-02 17:19:05,0,553,23552,23000,19,41
2026-07-02 17:19:10,0,553,23552,23000,17,41
2026-07-02 17:19:15,0,553,23552,23000,19,41
2026-07-02 17:19:20,0,553,23552,23000,19,41
2026-07-02 17:19:25,0,553,23552,23000,17,41
2026-07-02 17:19:31,0,553,23552,23000,15,41
2026-07-02 17:19:36,0,553,23552,23000,15,41
2026-07-02 17:19:41,0,553,23552,23000,19,41
2026-07-02 17:19:46,0,553,23552,23000,17,41
2026-07-02 17:19:51,0,553,23552,23000,18,41
2026-07-02 17:19:56,0,553,23552,23000,20,41
2026-07-02 17:20:01,0,553,23552,23000,19,41
2026-07-02 17:20:06,0,553,23552,23000,19,41
2026-07-02 17:20:11,0,553,23552,23000,12,41
2026-07-02 17:20:16,0,553,23552,23000,21,41
2026-07-02 17:20:21,0,553,23552,23000,19,41
2026-07-02 17:20:26,0,553,23552,23000,19,41
2026-07-02 17:20:31,0,553,23552,23000,15,41
2026-07-02 17:20:36,0,553,23552,23000,13,41
2026-07-02 17:20:41,0,553,23552,23000,13,41
2026-07-02 17:20:47,0,553,23552,23000,13,41
2026-07-02 17:20:52,0,553,23552,23000,19,41
2026-07-02 17:20:57,0,553,23552,23000,17,41
2026-07-02 17:21:02,0,553,23552,23000,19,41
2026-07-02 17:21:07,0,553,23552,23000,19,41
2026-07-02 17:21:12,0,553,23552,23000,15,41
2026-07-02 17:21:17,0,553,23552,23000,18,41
2026-07-02 17:21:22,0,553,23552,23000,15,41
2026-07-02 17:21:27,0,553,23552,23000,16,41
2026-07-02 17:21:32,0,553,23552,23000,11,41
2026-07-02 17:21:37,0,553,23552,23000,13,41
2026-07-02 17:21:42,0,553,23552,23000,19,41
2026-07-02 17:21:47,0,553,23552,23000,15,41
2026-07-02 17:21:52,0,553,23552,23000,19,41
2026-07-02 17:21:57,0,553,23552,23000,19,41
2026-07-02 17:22:02,0,553,23552,23000,0,40
